State,Type,Description,URL
Alaska,UI General Insurance Info,Unemployment General Information about the Unemployment Insurance Program,https://labor.alaska.gov/unemployment/
Alaska,UI Claim Online,"Website for filing unemployment insurance
",https://my.alaska.gov/
Alaska,UI by Phone,Telephone support for filing unemployment insurance,http://www.labor.state.ak.us/esd_unemployment_insurance/call-centers.htm
,,,
Alabama,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://continuedclaims.labor.alabama.gov/default.aspx
Alabama,UI Claim Online,"Website for filing unemployment insurance
",https://initialclaims.labor.alabama.gov/
Alabama,UI by Phone,Telephone support for filing unemployment insurance,https://labor.alabama.gov/uc/phone.aspx
,,,
Arkansas,UI General Insurance Info,General Information about the Unemployment Insurance Program,
Arkansas,UI Claim Online,"Website for filing unemployment insurance
",https://www.ezarc.adws.arkansas.gov/
Arkansas,UI by Phone,Telephone support for filing unemployment insurance,https://www.dws.arkansas.gov/unemployment/
,,,
Arizona,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://des.az.gov/services/employment/unemployment-individual/apply-ui-benefits
Arizona,UI Claim Online,"Website for filing unemployment insurance
",https://des.az.gov/services/employment/unemployment-individual
Arizona,UI by Phone,Telephone support for filing unemployment insurance,https://des.az.gov/services/employment/unemployment-individual/contact-AZUI
,,,
California,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://edd.ca.gov/Unemployment/
California,UI Claim Online,"Website for filing unemployment insurance
",https://edd.ca.gov/Unemployment/UI_Online.htm
California,UI by Phone,Telephone support for filing unemployment insurance,https://edd.ca.gov/Unemployment/Contact_UI.htm
California,UI Disability,State disability insurance benefits for those who cannot work because they have COVID-19,
California,UI Offices,Local unemployment offices,https://www.careeronestop.org/LocalHelp/AmericanJobCenters/find-american-job-centers.aspx?location=California&radius=25&ct=0&y=0&w=0&e=0&sortcolumns=Location&sortdirections=ASC
California,UI Community,"Local community organizations (nonprofits, churches, etc)",
California,UI Emergency,Emergency relief funding based on where you live (county or city),
California,UI Adult Education,Funding for paying for trainig / adult education (local WIOA),https://www.edd.ca.gov/Jobs_and_Training/Workforce_Innovation_and_Opportunity_Act.htm
California,UI College,Scholarships / grants for college,https://www2.ed.gov/about/offices/list/ope/caresact.html
California,UI Child Care,Funding for child services,https://covid19.ca.gov/childcare/#top
California,UI Small Business,Grants for small business owners,https://www.ibank.ca.gov/small-business-finance-center/
California,UI Rent,Rent / mortgage assistance,https://covid19.ca.gov/get-financial-help/
California,UI Health,Health insurance assistance,
California,UI Mental,"Health/Mental Health servics for the unemployed (paid by county, city)",https://covid19.ca.gov/resources-for-emotional-support-and-well-being/#top
,,,
Colorado,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.colorado.gov/cdle/unemployment
Colorado,UI Claim Online,"Website for filing unemployment insurance
",https://www.colorado.gov/pacific/cdle/ui/new-claimant
Colorado,UI by Phone,Telephone support for filing unemployment insurance,https://www.colorado.gov/pacific/cdle/ui-contact-us
,,,
Connecticut,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.ctdol.state.ct.us/progsupt/unemplt/claimant-guide/uc-288.pdf
Connecticut,UI Claim Online,"Website for filing unemployment insurance
",https://uiclaimsct.force.com/Customers
Connecticut,UI by Phone,Telephone support for filing unemployment insurance,http://www.ctdol.state.ct.us/UI-OnLine/index.htm
,,,
District of Columbia Resources,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://does.dcnetworks.org/InitialClaims/
District of Columbia Resources,UI Claim Online,"Website for filing unemployment insurance
",http://does.dc.gov/service/unemployment-compensation-process
District of Columbia Resources,UI by Phone,Telephone support for filing unemployment insurance,202-724-7000
,,,
Delaware,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://ui.delawareworks.com/
Delaware,UI Claim Online,"Website for filing unemployment insurance
",https://uics.delawareworks.com/Forms/Form_WL1
Delaware,UI by Phone,Telephone support for filing unemployment insurance,https://ui.delawareworks.com/telebenefits.php
,,,
Florida,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.floridajobs.org/job-seekers-community-services
Florida,UI Claim Online,"Website for filing unemployment insurance
",https://covid19.floridajobs.org/
Florida,UI by Phone,Telephone support for filing unemployment insurance,1-800-204-2418
,,,
Georgia,UI General Insurance Info,https://dol.georgia.gov/unemployment-benefits,
Georgia,UI Claim Online,"Website for filing unemployment insurance
",https://dol.georgia.gov/file-unemployment-insurance-claim
Georgia,UI by Phone,Telephone support for filing unemployment insurance,404-232-3180
,,,
Hawaii,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://labor.hawaii.gov/ui/
Hawaii,UI Claim Online,"Website for filing unemployment insurance
",https://huiclaims.hawaii.gov/#/
Hawaii,UI by Phone,Telephone support for filing unemployment insurance,http://labor.hawaii.gov/ui/contact/
,,,
Iowa,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.iowaworkforcedevelopment.gov/file-claim-unemployment-insurance-benefits
Iowa,UI Claim Online,"Website for filing unemployment insurance
",https://uiclaims.iwd.iowa.gov/UIInitialClaim/
Iowa,UI by Phone,Telephone support for filing unemployment insurance,https://www.iowaworkforcedevelopment.gov/
,,,
Idaho,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://labor.idaho.gov/dnn/Unemployment-Benefits
Idaho,UI Claim Online,"Website for filing unemployment insurance
",https://www2.labor.idaho.gov/ClaimantPortal/Login?ReturnUrl=/claimantportal
Idaho,UI by Phone,Telephone support for filing unemployment insurance,https://www.labor.idaho.gov/dnn/Contact
,,,
Illinois,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www2.illinois.gov/ides/aboutides/Pages/10%20Things%20You%20Should%20Know.aspx
Illinois,UI Claim Online,"Website for filing unemployment insurance
",https://www2.illinois.gov/ides/individuals/UnemploymentInsurance/Pages/default.aspx
Illinois,UI by Phone,Telephone support for filing unemployment insurance,http://www.ides.illinois.gov/SitePages/ContactIDES.aspx
Illinois,UI Disability,State disability insurance benefits for those who cannot work because they have COVID-19,https://puaclaimant.ides.illinois.gov/Claimant/Core/Login.ASPX
Illinois,UI Offices,Local unemployment offices,https://www.careeronestop.org/LocalHelp/AmericanJobCenters/find-american-job-centers.aspx?location=Illinois&radius=25&ct=0&y=0&w=0&e=0&sortcolumns=Location&sortdirections=ASC
Illinois,UI Community,"Local community organizations (nonprofits, churches, etc)",
Illinois,UI Emergency,Emergency relief funding based on where you live (county or city),https://www.ilcovidresponsefund.org/grants.html
Illinois,UI Adult Education,Funding for paying for trainig / adult education (local WIOA),https://www.illinoisworknet.com/wioa
Illinois,UI College,Scholarships / grants for college,https://www2.ed.gov/about/offices/list/ope/caresact.html
Illinois,UI Child Care,Funding for child and family services,https://coronavirus.illinois.gov/s/resources-for-families-and-children
Illinois,UI Small Business,Grants for small business owners,https://www2.illinois.gov/dceo/SmallBizAssistance/Pages/EmergencySBAIntiatives.aspx
Illinois,UI Rent,Mortgage assistance,https://www.hud.gov/sites/dfiles/SFH/documents/COVID-19HomeownerHelp.pdf
Illinois,UI Health,Health insurance assistance,https://www2.illinois.gov/sites/coronavirus/Resources/Pages/providers-and-facilities.aspx
Illinois,UI Mental,"Health/Mental Health servics for the unemployed (paid by county, city)",https://coronavirus.illinois.gov/s/mental-health
Illinois,UI Internet,Free & Low Cost Internet Plans,https://www.digitalinclusion.org/free-low-cost-internet-plans/
,,,
