State,Type,Description,URL
AK,UI General Insurance Info,Unemployment General Information about the Unemployment Insurance Program,https://labor.alaska.gov/unemployment/
AK,UI Claim Online,"Website for filing unemployment insurance
",https://my.alaska.gov/
AK,UI by Phone,Telephone support for filing unemployment insurance,http://www.labor.state.ak.us/esd_unemployment_insurance/call-centers.htm
,,,
AL,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://continuedclaims.labor.alabama.gov/default.aspx
AL,UI Claim Online,"Website for filing unemployment insurance
",https://initialclaims.labor.alabama.gov/
AL,UI by Phone,Telephone support for filing unemployment insurance,https://labor.alabama.gov/uc/phone.aspx
,,,
AR,UI General Insurance Info,General Information about the Unemployment Insurance Program,
AR,UI Claim Online,"Website for filing unemployment insurance
",https://www.ezarc.adws.arkansas.gov/
AR,UI by Phone,Telephone support for filing unemployment insurance,https://www.dws.arkansas.gov/unemployment/
,,,
AZ,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://des.az.gov/services/employment/unemployment-individual/apply-ui-benefits
AZ,UI Claim Online,"Website for filing unemployment insurance
",https://des.az.gov/services/employment/unemployment-individual
AZ,UI by Phone,Telephone support for filing unemployment insurance,https://des.az.gov/services/employment/unemployment-individual/contact-AZUI
,,,
CA,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://edd.ca.gov/Unemployment/
CA,UI Claim Online,"Website for filing unemployment insurance
",https://edd.ca.gov/Unemployment/UI_Online.htm
CA,UI by Phone,Telephone support for filing unemployment insurance,https://edd.ca.gov/Unemployment/Contact_UI.htm
CA,UI Disability,State disability insurance benefits for those who cannot work because they have COVID-19,
CA,UI Offices,Local unemployment offices,https://www.careeronestop.org/LocalHelp/AmericanJobCenters/find-american-job-centers.aspx?location=California&radius=25&ct=0&y=0&w=0&e=0&sortcolumns=Location&sortdirections=ASC
CA,UI Community,"Local community organizations (nonprofits, churches, etc)",
CA,UI Emergency,Emergency relief funding based on where you live (county or city),
CA,UI Adult Education,Funding for paying for trainig / adult education (local WIOA),https://www.edd.ca.gov/Jobs_and_Training/Workforce_Innovation_and_Opportunity_Act.htm
CA,UI College,Scholarships / grants for college,https://www2.ed.gov/about/offices/list/ope/caresact.html
CA,UI Child Care,Funding for child services,https://covid19.ca.gov/childcare/#top
CA,UI Small Business,Grants for small business owners,https://www.ibank.ca.gov/small-business-finance-center/
CA,UI Rent,Rent / mortgage assistance,https://covid19.ca.gov/get-financial-help/
CA,UI Health,Health insurance assistance,
CA,UI Mental,"Health/Mental Health servics for the unemployed (paid by county, city)",https://covid19.ca.gov/resources-for-emotional-support-and-well-being/#top
,,,
CO,UI General Insurance Info,General Information about the Unemployment Insurance Program,https://www.colorado.gov/cdle/unemployment
CO,UI Claim Online,"Website for filing unemployment insurance
",https://www.colorado.gov/pacific/cdle/ui/new-claimant
CO,UI by Phone,Telephone support for filing unemployment insurance,https://www.colorado.gov/pacific/cdle/ui-contact-us
,,,
CT,UI General Insurance Info,General Information about the Unemployment Insurance Program,http://www.ctdol.state.ct.us/progsupt/unemplt/claimant-guide/uc-288.pdf
CT,UI Claim Online,"Website for filing unemployment insurance
",https://uiclaimsct.force.com/Customers
