Company,Location,Type,Title,Description,Company_url,Company_logo,Latitude,Longitude
Teal,,Full Time,,,,,38.3404922,-92.2413432
BlueVolt,"Portland, OR, US",Full Time,,,,,45.507856,-122.690794
BlueVolt,"Portland, OR, US",Full Time,Senior Software Engineer (.NET),,,,45.507856,-122.690794
BlueVolt,"Portland, OR, US",Full Time,Senior Software Engineer (.NET),"<p>Position Summary</p>
<p>BlueVolt is growing. We have excellent product-market fit with loyal customers. We have thousands of customer admin users and hundreds of thousands of learner users. We are known in the skilled trades for our simple, effective learning platform and strong service ethic. We help companies turn learning into a strategic asset. We build strong relationships, growing and learning from our customers as they grow and learn from us.</p>
<p>We're looking for someone to take on the responsibility to help develop software that customers love while working in an Agile development environment. You'll help ensure high quality standards and will work with the team to develop effective processes for managing all aspects of software development. You will be a core contributor to the platform and will participate in other software and infrastructure projects as needed.</p>
<p>Responsibilities</p>
<ul>
<li>Develop software on a fully cloud-hosted SaaS product.</li>
<li>Design and author highly functional and aesthetically pleasing software for our product lines, including the BlueVolt LMS, web portals and other software projects.</li>
<li>Develop client requirements, estimate, advise upon, and deliver the appropriate solution.</li>
<li>Improve configuration management practices and development processes.</li>
<li>Develop automated tests and follow Test-Driven Development practices.</li>
<li>Provide technical support, training, and subject matter expertise to clients and BlueVolt employees.</li>
<li>Help build development team guidelines and reinforcement their practice.</li>
<li>Work with management and team on identifying obstacles and removing them</li>
</ul>
<p>Requirements</p>
<ul>
<li>5+ years of experience with the .NET platform</li>
<li>Excellent object-oriented design &amp; programming skills, including the application of design patterns and avoidance of anti-patterns</li>
<li>Experience working in a collaborative team of application developers and source code repositories. TFS is preferred</li>
<li>Solid programming experience with C#, WCF, Restful services using WEB API, and ASP.NET MVC.</li>
<li>Experience with SQL and SQL Server Database Programming</li>
<li>Experience with JavaScript, JQuery, AngularJS and Angular</li>
<li>Experience with TDD using nUnit and MS Test, Auto Tests (Selenium is preferred)</li>
<li>Agile/SCRUM Software Development Process</li>
<li>Excellent written and verbal communication skills</li>
<li>Good team player</li>
</ul>
<p>Bonus Points:  Azure expertise a Plus</p>
<p>Note: No H1/H1B/F1 Visa transfer sponsorship available for this opportunity, no new sponsorship applications.</p>
<p>Location:  Portland, OR</p>
",,,45.507856,-122.690794
BlueVolt,"Portland, OR, US",Full Time,Senior Software Engineer (.NET),"<p>Position Summary</p>
<p>BlueVolt is growing. We have excellent product-market fit with loyal customers. We have thousands of customer admin users and hundreds of thousands of learner users. We are known in the skilled trades for our simple, effective learning platform and strong service ethic. We help companies turn learning into a strategic asset. We build strong relationships, growing and learning from our customers as they grow and learn from us.</p>
<p>We're looking for someone to take on the responsibility to help develop software that customers love while working in an Agile development environment. You'll help ensure high quality standards and will work with the team to develop effective processes for managing all aspects of software development. You will be a core contributor to the platform and will participate in other software and infrastructure projects as needed.</p>
<p>Responsibilities</p>
<ul>
<li>Develop software on a fully cloud-hosted SaaS product.</li>
<li>Design and author highly functional and aesthetically pleasing software for our product lines, including the BlueVolt LMS, web portals and other software projects.</li>
<li>Develop client requirements, estimate, advise upon, and deliver the appropriate solution.</li>
<li>Improve configuration management practices and development processes.</li>
<li>Develop automated tests and follow Test-Driven Development practices.</li>
<li>Provide technical support, training, and subject matter expertise to clients and BlueVolt employees.</li>
<li>Help build development team guidelines and reinforcement their practice.</li>
<li>Work with management and team on identifying obstacles and removing them</li>
</ul>
<p>Requirements</p>
<ul>
<li>5+ years of experience with the .NET platform</li>
<li>Excellent object-oriented design &amp; programming skills, including the application of design patterns and avoidance of anti-patterns</li>
<li>Experience working in a collaborative team of application developers and source code repositories. TFS is preferred</li>
<li>Solid programming experience with C#, WCF, Restful services using WEB API, and ASP.NET MVC.</li>
<li>Experience with SQL and SQL Server Database Programming</li>
<li>Experience with JavaScript, JQuery, AngularJS and Angular</li>
<li>Experience with TDD using nUnit and MS Test, Auto Tests (Selenium is preferred)</li>
<li>Agile/SCRUM Software Development Process</li>
<li>Excellent written and verbal communication skills</li>
<li>Good team player</li>
</ul>
<p>Bonus Points:  Azure expertise a Plus</p>
<p>Note: No H1/H1B/F1 Visa transfer sponsorship available for this opportunity, no new sponsorship applications.</p>
<p>Location:  Portland, OR</p>
",,,45.507856,-122.690794
BlueVolt,"Portland, OR, US",Full Time,Senior Software Engineer (.NET),"<p>Position Summary</p>
<p>BlueVolt is growing. We have excellent product-market fit with loyal customers. We have thousands of customer admin users and hundreds of thousands of learner users. We are known in the skilled trades for our simple, effective learning platform and strong service ethic. We help companies turn learning into a strategic asset. We build strong relationships, growing and learning from our customers as they grow and learn from us.</p>
<p>We're looking for someone to take on the responsibility to help develop software that customers love while working in an Agile development environment. You'll help ensure high quality standards and will work with the team to develop effective processes for managing all aspects of software development. You will be a core contributor to the platform and will participate in other software and infrastructure projects as needed.</p>
<p>Responsibilities</p>
<ul>
<li>Develop software on a fully cloud-hosted SaaS product.</li>
<li>Design and author highly functional and aesthetically pleasing software for our product lines, including the BlueVolt LMS, web portals and other software projects.</li>
<li>Develop client requirements, estimate, advise upon, and deliver the appropriate solution.</li>
<li>Improve configuration management practices and development processes.</li>
<li>Develop automated tests and follow Test-Driven Development practices.</li>
<li>Provide technical support, training, and subject matter expertise to clients and BlueVolt employees.</li>
<li>Help build development team guidelines and reinforcement their practice.</li>
<li>Work with management and team on identifying obstacles and removing them</li>
</ul>
<p>Requirements</p>
<ul>
<li>5+ years of experience with the .NET platform</li>
<li>Excellent object-oriented design &amp; programming skills, including the application of design patterns and avoidance of anti-patterns</li>
<li>Experience working in a collaborative team of application developers and source code repositories. TFS is preferred</li>
<li>Solid programming experience with C#, WCF, Restful services using WEB API, and ASP.NET MVC.</li>
<li>Experience with SQL and SQL Server Database Programming</li>
<li>Experience with JavaScript, JQuery, AngularJS and Angular</li>
<li>Experience with TDD using nUnit and MS Test, Auto Tests (Selenium is preferred)</li>
<li>Agile/SCRUM Software Development Process</li>
<li>Excellent written and verbal communication skills</li>
<li>Good team player</li>
</ul>
<p>Bonus Points:  Azure expertise a Plus</p>
<p>Note: No H1/H1B/F1 Visa transfer sponsorship available for this opportunity, no new sponsorship applications.</p>
<p>Location:  Portland, OR</p>
",,,45.507856,-122.690794
Lawrence Berkeley National Laboratory ,,Full Time,,,,,37.8769276,-122.2489253
Lawrence Berkeley National Laboratory ,,Full Time,,,http://www.lbl.gov,,37.8769276,-122.2489253
Lawrence Berkeley National Laboratory ,Berkeley,Full Time,,,http://www.lbl.gov,,37.8769276,-122.2489253
Lawrence Berkeley National Laboratory ,Berkeley,Full Time,Web Developer (The Materials Project) ,,http://www.lbl.gov,,37.8769276,-122.2489253
