State,Type,Description,URL
AK,UI General Online,Insurance Information,https://labor.alaska.gov/unemployment/
AK,UI Claim Online,"Website for filing unemployment insurance
",https://my.alaska.gov/
AK,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://www.labor.state.ak.us/esd_unemployment_insurance/call-centers.htm
,,,
AL,UI General Online,Insurance Information,https://continuedclaims.labor.alabama.gov/default.aspx
AL,UI Claim Online,"Website for filing unemployment insurance
",https://initialclaims.labor.alabama.gov/
AL,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://labor.alabama.gov/uc/phone.aspx
,,,
AR,UI General Online,Insurance Information,
AR,UI Claim Online,"Website for filing unemployment insurance
",https://www.ezarc.adws.arkansas.gov/
AR,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.dws.arkansas.gov/unemployment/
,,,
AZ,UI General Online,Insurance Information,https://des.az.gov/services/employment/unemployment-individual/apply-ui-benefits
AZ,UI Claim Online,"Website for filing unemployment insurance
",https://des.az.gov/services/employment/unemployment-individual
AZ,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://des.az.gov/services/employment/unemployment-individual/contact-AZUI
,,,
CA,UI General Online,Insurance Information,https://edd.ca.gov/Unemployment/
CA,UI Claim Online,"Website for filing unemployment insurance
",https://edd.ca.gov/Unemployment/UI_Online.htm
CA,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://edd.ca.gov/Unemployment/Filing_a_Claim.htm
,,,
CO,UI General Online,Insurance Information,https://www.colorado.gov/cdle/unemployment
CO,UI Claim Online,"Website for filing unemployment insurance
",https://www.colorado.gov/pacific/cdle/ui/new-claimant
CO,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.colorado.gov/pacific/cdle/ui-contact-us
,,,
CT,UI General Online,Insurance Information,http://www.ctdol.state.ct.us/progsupt/unemplt/claimant-guide/uc-288.pdf
CT,UI Claim Online,"Website for filing unemployment insurance
",https://uiclaimsct.force.com/Customers
CT,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://www.ctdol.state.ct.us/UI-OnLine/index.htm
,,,
DC,UI General Online,Insurance Information,https://does.dcnetworks.org/InitialClaims/
DC,UI Claim Online,"Website for filing unemployment insurance
",http://does.dc.gov/service/unemployment-compensation-process
DC,UI by Phone,Telephone Support for Unemployment Insurance Filing,202-724-7000
,,,
DE,UI General Online,Insurance Information,http://ui.delawareworks.com/
DE,UI Claim Online,"Website for filing unemployment insurance
",https://uics.delawareworks.com/Forms/Form_WL1
DE,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://ui.delawareworks.com/telebenefits.php
,,,
FL,UI General Online,Insurance Information,http://www.floridajobs.org/job-seekers-community-services
FL,UI Claim Online,"Website for filing unemployment insurance
",https://covid19.floridajobs.org/
FL,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-800-204-2418
,,,
GA,UI General Online,https://dol.georgia.gov/unemployment-benefits,
GA,UI Claim Online,"Website for filing unemployment insurance
",https://dol.georgia.gov/file-unemployment-insurance-claim
GA,UI by Phone,Telephone Support for Unemployment Insurance Filing,404-232-3180
,,,
HI,UI General Online,Insurance Information,http://labor.hawaii.gov/ui/
HI,UI Claim Online,"Website for filing unemployment insurance
",https://huiclaims.hawaii.gov/#/
HI,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://labor.hawaii.gov/ui/contact/
,,,
IA,UI General Online,Insurance Information,https://www.iowaworkforcedevelopment.gov/file-claim-unemployment-insurance-benefits
IA,UI Claim Online,"Website for filing unemployment insurance
",https://uiclaims.iwd.iowa.gov/UIInitialClaim/
IA,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.iowaworkforcedevelopment.gov/
,,,
ID,UI General Online,Insurance Information,https://labor.idaho.gov/dnn/Unemployment-Benefits
ID,UI Claim Online,"Website for filing unemployment insurance
",https://www2.labor.idaho.gov/ClaimantPortal/Login?ReturnUrl=/claimantportal
ID,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.labor.idaho.gov/dnn/Contact
,,,
IL,UI General Online,Insurance Information,https://www2.illinois.gov/ides/aboutides/Pages/10%20Things%20You%20Should%20Know.aspx
IL,UI Claim Online,"Website for filing unemployment insurance
",https://www2.illinois.gov/ides/individuals/UnemploymentInsurance/Pages/default.aspx
IL,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://www.ides.illinois.gov/SitePages/ContactIDES.aspx
,,,
IN,UI General Online,Insurance Information,https://www2.illinois.gov/ides/individuals/UnemploymentInsurance/Pages/default.aspx
IN,UI Claim Online,"Website for filing unemployment insurance
",https://www2.illinois.gov/ides/aboutides/Pages/10%20Things%20You%20Should%20Know.aspx
IN,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www2.illinois.gov/ides/aboutides/Pages/Contact_IDES.aspx
,,,
KS,UI General Online,Insurance Information,https://www.getkansasbenefits.gov/Home.aspx
KS,UI Claim Online,"Website for filing unemployment insurance
",https://www.getkansasbenefits.gov/BenefitsStartMenu.aspx
KS,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.dol.ks.gov/contact-kdol
,,,
KY,UI General Online,Insurance Information,https://kcc.ky.gov/career/If-you-are-Unemployed/Pages/default.aspx
KY,UI Claim Online,"Website for filing unemployment insurance
",http://www.kewes.ky.gov/
KY,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://www.kewes.ky.gov/
,,,
LA,UI General Online,Insurance Information,https://www.louisianaworks.net/hire/vosnet/Default.aspx
LA,UI Claim Online,"Website for filing unemployment insurance
",https://www.louisianaworks.net/hire/vosnet/loginintro.aspx?action=CLAIMWEEKS
LA,UI by Phone,Telephone Support for Unemployment Insurance Filing,1-866-783-5567
,,,
MA,UI General Online,Insurance Information,https://www.mass.gov/orgs/department-of-unemployment-assistance
MA,UI Claim Online,"Website for filing unemployment insurance
",https://www.mass.gov/unemployment-insurance-ui-online
MA,UI by Phone,Telephone Support for Unemployment Insurance Filing,https://www.mass.gov/orgs/department-of-unemployment-assistance
,,,
MD,UI General Online,Insurance Information,http://www.dllr.state.md.us/employment/unemployment.shtml
MD,UI Claim Online,"Website for filing unemployment insurance
",http://www.dllr.state.md.us/employment/unemployment.shtml
MD,UI by Phone,Telephone Support for Unemployment Insurance Filing,http://www.dllr.state.md.us/employment/officenum.shtml
,,,
ME,UI General Online,Insurance Information,https://www.maine.gov/unemployment/claimants/
ME,UI Claim Online,"Website for filing unemployment insurance
",https://reemployme.maine.gov/accessme/faces/login/login_local.xhtml
